full_sample_id,site,tank,treatment,timepoint,date
AST-1479,FW,1,Ambient,TP0,2/25/21
AST-2004,FW,2,Ambient,TP0,2/25/21
AST-2305,ENDV,5,Ambient,TP0,2/25/21
AST-1237,FW,8,Ambient,TP0,2/25/21
AST-2024,ENDV,10,Ambient,TP0,2/25/21
AST-1069,ENDV,12,Ambient,TP0,2/25/21
AST-2868,FW,16,Ambient,TP0,2/25/21
AST-2751,ENDV,18,Ambient,TP0,2/25/21
AST-1085,ENDV,1,Ambient,TP2,4/2/21
AST-2979,FW,2,Ambient,TP2,4/2/21
AST-2202,FW,3,Heat,TP2,4/2/21
AST-1042,ENDV,4,Heat,TP2,4/2/21
AST-1448,ENDV,5,Ambient,TP2,4/2/21
AST-1461,ENDV,6,Heat,TP2,4/2/21
AST-2384,ENDV,7,Heat,TP2,4/2/21
AST-1533,ENDV,9,Heat,TP2,4/2/21
AST-1225,ENDV,10,Ambient,TP2,4/2/21
AST-1053,ENDV,11,Heat,TP2,4/2/21
AST-2399,ENDV,12,Ambient,TP2,4/2/21
AST-1197,FW,15,Heat,TP2,4/2/21
AST-2757,FW,16,Ambient,TP2,4/2/21
AST-1576,FW,17,Heat,TP2,4/2/21
AST-1311,FW,18,Ambient,TP2,4/2/21
AST-1621,FW,1,Ambient,TP4,5/28/21
AST-1238,FW,2,Ambient,TP4,5/28/21
AST-1483,FW,3,Heat,TP4,5/28/21
AST-1135,ENDV,4,Heat,TP4,5/28/21
AST-2730,FW,5,Ambient,TP4,5/28/21
AST-1440,FW,6,Heat,TP4,5/28/21
AST-2976,FW,7,Heat,TP4,5/28/21
AST-1205,FW,8,Ambient,TP4,5/28/21
AST-1554,FW,9,Heat,TP4,5/28/21
AST-1557,ENDV,10,Ambient,TP4,5/28/21
AST-1430,ENDV,11,Heat,TP4,5/28/21
AST-1071,FW,12,Ambient,TP4,5/28/21
AST-1110,FW,15,Heat,TP4,5/28/21
AST-1122,ENDV,16,Ambient,TP4,5/28/21
