full_sample_id,date,species,site,file.name,series,histo company,scale,units,sex,stage,length,width,total gametes,Notes
AP-1-1,7/5/22,Astrangia poculata,Field,AP-1-175.vsi,14,PP,3.6526,microns,female,3,64.217,40.106,50,
AP-1-1,7/5/22,Astrangia poculata,Field,AP-1-175.vsi,14,PP,3.6526,microns,female,3,75.118,48.111,50,
AP-1-1,7/5/22,Astrangia poculata,Field,AP-1-175.vsi,14,PP,3.6526,microns,female,3,77.534,41.973,50,
AP-1-1,7/5/22,Astrangia poculata,Field,AP-1-175.vsi,14,PP,3.6526,microns,female,4,98.713,56.727,50,
AP-1-1,7/5/22,Astrangia poculata,Field,AP-1-175.vsi,14,PP,3.6526,microns,female,4,114.282,47.271,50,
AP-1-1,7/5/22,Astrangia poculata,Field,AP-1-175.vsi,14,PP,3.6526,microns,female,4,109.198,59.814,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,1,23.768,12.832,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,1,23.231,13.47,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,1,22.47,13.987,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,2,49.816,20.167,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,2,35.805,28.409,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,2,39.607,24.896,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,3,67.471,40.177,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,3,71.637,41.227,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,3,55.376,34.094,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,4,87.794,40.778,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,4,86.805,53.234,50,
AP-3-2,7/5/22,Astrangia poculata,Field,AP-3-2-75.vsi,14,PP,3.6526,microns,female,4,87.061,54.61,50,
AP-3-3,7/5/22,Astrangia poculata,Field,AP-3-3-75.vsi,14,PP,3.6526,microns,female,2,35.46,26.369,50,
AP-3-3,7/5/22,Astrangia poculata,Field,AP-3-3-75.vsi,14,PP,3.6526,microns,female,2,32.566,17.675,50,
AP-3-3,7/5/22,Astrangia poculata,Field,AP-3-3-75.vsi,14,PP,3.6526,microns,female,2,42.731,24.487,50,
AP-3-3,7/5/22,Astrangia poculata,Field,AP-3-3-75.vsi,14,PP,3.6526,microns,female,3,60.847,29.062,50,
AP-3-3,7/5/22,Astrangia poculata,Field,AP-3-3-75.vsi,14,PP,3.6526,microns,female,3,56.592,30.427,50,
AP-3-3,7/5/22,Astrangia poculata,Field,AP-3-3-75.vsi,14,PP,3.6526,microns,female,3,51.247,33.864,50,
AP-3-3,7/5/22,Astrangia poculata,Field,AP-3-3-75.vsi,14,PP,3.6526,microns,female,4,92.911,35.591,50,
AP-3-3,7/5/22,Astrangia poculata,Field,AP-3-3-75.vsi,14,PP,3.6526,microns,female,4,62.185,50.615,50,
AP-3-3,7/5/22,Astrangia poculata,Field,AP-3-3-75.vsi,14,PP,3.6526,microns,female,4,59.522,56.621,50,
AP-10-3,7/5/22,Astrangia poculata,Field,,,,,,,,,,,
AP-8-3,7/5/22,Astrangia poculata,Field,AP-8-3-75.vsi,14,PP,3.6526,microns,female,2,29.161,14.795,50,
AP-8-3,7/5/22,Astrangia poculata,Field,AP-8-3-75.vsi,14,PP,3.6526,microns,female,2,30.839,15.371,50,
