full_sample_id,timepoint,date,species,month,site,file.name,series,histo company,scale,units,sex,StageI,StageII,StageIII,StageIV,StageV,Total gametes,Notes,
AST-1237-TP0,TP0,,Astrangia poculata,Feburary,,,,,,,,,,,,,,,
AST-2024-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2024-TP0.vsi,14,PP,3.6547,microns,female,20,25,5,0,0,50,,50
AST-1479-TP0,TP0,2/25/21,Astrangia poculata,Feburary,FW,AST-1479-TP0.vsi,14,PP,3.6547,microns,female,46,4,0,0,0,50,"NOT in jill experimental design notebook, Must be AST-1479, previous name was AST-1476-TP0",50
AST-2751-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2751-TP0.vsi,14,PP,3.6547,microns,female,15,8,1,0,0,24,,24
AST-2004-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2001-TP0.vsi,14,PP,3.6547,microns,NA,0,0,0,0,0,0,Mislabelled,0
AST-2305-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,AST-2305-TP0.vsi,14,PP,3.6547,microns,female,27,23,0,0,0,50,,50
AST-2868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0
AST-1069-TP0,TP0,2/25/21,Astrangia poculata,Feburary,,Image_01.vsi,14,PP,3.6547,microns,NA,0,0,0,0,0,0,,0
AST-1042-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1642-TP2.vsi,14,PP,3.6547,microns,NA,0,0,0,0,0,0,,0
AST-1461-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1461-TP2.vsi,14,PP,3.6547,microns,male,17,0,0,0,0,17,,17
AST-1533-TP2,TP2,4/2/21,Astrangia poculata,April,,AST-1533-TP2.vsi,14,PP,3.6547,microns,male,9,41,0,0,0,50,,50
AST-2979-TP2,TP2,4/2/21,Astrangia poculata,April,FW,Image_AST_2979_2.vsi,20,NOVA,3.6547,microns,NA,0,0,0,0,0,0,,0
AST-1085-TP2,TP2,4/2/21,Astrangia poculata,April,FW,AST-1085-TP2.vsi,14,PP,3.6547,microns,female,50,0,0,0,0,0,,50
