full_sample_id,timepoint.x,date.x,species,month,site.x,sex,StageI,StageII,StageIII,StageIV,StageV,total_gametes,site.y,tank,treatment,timepoint.y,date.y
_01FLD-3-TP4_,TP4,6/4/21,Astrangia poculata,June,NA,female,3,17,26,4,0,50,FW,NA,Field,TP4,6/4/21
_AST-FLD-TP4_,TP4,6/4/21,Astrangia poculata,June,NA,female,9,33,8,0,0,50,FW,NA,Field,TP4,6/4/21
_FLD-1_TP3_,TP3,4/29/21,Astrangia poculata,April,NA,male,10,9,0,0,0,19,FW,NA,Field,TP3,4/29/21
_FLD-1_TP5_,TP5,6/26/21,Astrangia poculata,June,NA,NA,0,0,0,0,0,0,FW,NA,Field,TP5,6/26/21
_FLD-1-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,male,50,0,0,0,0,50,FW,NA,Field,TP2,4/11/21
_FLD-1-TP4_,TP4,6/4/21,Astrangia poculata,June,NA,female,3,13,32,2,0,50,FW,NA,Field,TP4,6/4/21
_FLD-1-TP6_,TP5,7/24/21,Astrangia poculata,June,NA,female,2,5,11,32,0,50,FW,NA,Field,TP5,7/24/21
_FLD-1-TP6_,TP5,7/24/21,Astrangia poculata,June,NA,female,2,5,11,32,0,50,FW,NA,Field,TP6,7/24/21
_FLD-1-TP6_,TP6,7/24/21,Astrangia poculata,July,NA,male,0,0,12,32,6,50,FW,NA,Field,TP5,7/24/21
_FLD-1-TP6_,TP6,7/24/21,Astrangia poculata,July,NA,male,0,0,12,32,6,50,FW,NA,Field,TP6,7/24/21
_FLD-1-TP7_,TP7,9/2/21,Astrangia poculata,September,NA,male,12,32,6,0,0,50,FW,NA,Field,TP7,9/2/21
_FLD-10-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,NA,0,0,0,0,0,0,FW,NA,Field,TP2,4/11/21
_FLD-10-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,female,0,11,16,0,0,27,FW,NA,Field,TP3,4/29/21
_FLD-10-TP5_,TP5,6/26/21,Astrangia poculata,June,NA,female,0,9,16,25,0,50,FW,NA,Field,TP5,6/26/21
_FLD-11-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,male,7,6,0,0,0,13,FW,NA,Field,TP2,4/11/21
_FLD-11-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,female,0,14,36,0,0,50,FW,NA,Field,TP3,4/29/21
_FLD-11-TP5_,TP5,6/26/21,Astrangia poculata,June,NA,male,0,16,17,17,0,50,FW,NA,Field,TP5,6/26/21
_FLD-12-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,NA,0,0,0,0,0,0,FW,NA,Field,TP3,4/29/21
_FLD-13-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,female,4,8,1,0,0,13,FW,NA,Field,TP3,4/29/21
_FLD-2_TP4_,TP4,6/4/21,Astrangia poculata,June,NA,male,0,34,16,0,0,50,FW,NA,Field,TP4,6/4/21
_FLD-2_TP5_,TP5,6/26/21,Astrangia poculata,June,NA,male,0,0,26,24,0,50,FW,NA,Field,TP5,6/26/21
_FLD-2-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,female,NA,0,0,0,0,0,FW,NA,Field,TP2,4/11/21
_FLD-2-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,NA,0,0,0,0,0,0,FW,NA,Field,TP3,4/29/21
_FLD-2-TP6_,TP6,7/24/21,Astrangia poculata,July,NA,female,0,0,21,27,2,50,FW,NA,Field,TP6,7/24/21
_FLD-2-TP6_,TP6,7/24/21,Astrangia poculata,July,NA,female,0,0,21,27,2,50,FW,NA,Field,TP6,7/24/21
_FLD-2-TP6_,TP6,7/24/21,Astrangia poculata,July,NA,female,0,0,16,34,0,50,FW,NA,Field,TP6,7/24/21
_FLD-2-TP6_,TP6,7/24/21,Astrangia poculata,July,NA,female,0,0,16,34,0,50,FW,NA,Field,TP6,7/24/21
_FLD-2-TP7_,TP7,9/2/21,Astrangia poculata,September,NA,male,0,22,4,8,1,35,FW,NA,Field,TP7,9/2/21
_FLD-3_TP6_,TP6,7/24/21,Astrangia poculata,July,NA,male,0,0,23,20,7,50,FW,NA,Field,TP6,7/24/21
_FLD-3-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,male,18,23,2,0,0,43,FW,NA,Field,TP2,4/11/21
_FLD-3-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,female,3,22,8,0,0,33,FW,NA,Field,TP3,4/29/21
_FLD-3-TP4_,TP4,6/4/21,Astrangia poculata,June,NA,male,0,38,12,0,0,50,FW,NA,Field,TP4,6/4/21
_FLD-3-TP5_,TP5,6/26/21,Astrangia poculata,June,NA,male,0,17,23,10,0,50,FW,NA,Field,TP5,6/26/21
_FLD-3-TP7_,TP7,9/2/21,Astrangia poculata,September,NA,NA,0,0,0,0,0,0,FW,NA,Field,TP7,9/2/21
_FLD-4-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,female,16,15,19,0,0,50,FW,NA,Field,TP2,4/11/21
_FLD-4-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,NA,0,0,0,0,0,0,FW,NA,Field,TP3,4/29/21
_FLD-4-TP4-1_,TP4,6/4/21,Astrangia poculata,June,NA,female,0,32,18,0,0,50,FW,NA,Field,TP4,6/4/21
_FLD-4-TP5_,TP5,6/26/21,Astrangia poculata,June,NA,female,0,7,24,19,0,50,FW,NA,Field,TP5,6/26/21
_FLD-4-TP6_,TP6,7/24/21,Astrangia poculata,July,NA,male,0,10,18,21,1,50,FW,NA,Field,TP6,7/24/21
_FLD-4-TP7_,TP7,9/2/21,Astrangia poculata,September,NA,male,0,0,0,6,4,10,FW,NA,Field,TP7,9/2/21
_FLD-5-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,female,3,19,28,0,0,50,FW,NA,Field,TP2,4/11/21
_FLD-5-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,female,18,32,0,0,0,50,FW,NA,Field,TP3,4/29/21
_FLD-5-TP4_,TP4,6/4/21,Astrangia poculata,June,NA,female,0,30,9,0,0,39,FW,NA,Field,TP4,6/4/21
